"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to basket line items, not the whole basket."
"Can not specify product identifier for order item","Unable to specify product identifier for order item"
"Catalog Inventory","Catalogue Inventory"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Basket"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Basket"
