"You can leave a box blank if you don't wish to add a gift message for the item.","You can leave a box blank if you do not wish to add a gift message for the item."
"You can leave a box blank if you don't wish to add a gift message for this address.","You can leave a box blank if you do not wish to add a gift message for this address."
"You can leave a box blank if you don't wish to add a gift message for whole order.","You can leave a box blank if you do not wish to add a gift message for whole order."
"Your gift message successfully removed","Your gift message was successfully removed"
"Your gift message successfully saved","Your gift message was successfully saved"
